,target,length,readability,similarity
28,"Maickel Melamed, 39, finished the race at 5am on Tuesday morning .
The Venezuelan athlete was supported and cheered on by dozens of friends as well as his physical trainers and volunteer team .
Melamed's condition makes it hard to just walk or move but this week he completed his fifth marathon .
He chose Boston to be his final marathon because he received a life-saving procedure in the city when he was child .",75,7.9,1.0
29,"Brad Pitt set up charity to build new houses after Hurricane Katrina in 2005 .
Make It Right Foundation embroiled in legal action after homes began to rot .
Claims it was lured into buying the special wood only to discover it rotted .
Charity is suing Timber Treatment Technologies for ‘in excess’ of $500k .",56,8.4,1.0
30,"Attachment was originally devised as part of an April Fool's joke .
But the LA-based firm has now announced it is making the case a reality .
Called Smart Boy, it attaches to a phone and works with existing cartridges .
Price and release details have not yet been announced .",51,5.5,1.0
31,"The Karen was towed at 10 knots during yesterday's alarming incident .
Took place 18 miles from Ardglass on southeast shore of Northern Ireland .
Officials believe Nato drills may have attracted the interest of the Russians .
Just three days ago, RAF Typhoons were sent to intercept two Russian aircraft near UK air space .",56,7.2,1.0
32,"Vera Maresova, 50, killed five women and one man over a four-year period .
Police said she committed the murders to make her workload easier .
Maresova, who has been dubbed 'Nurse Death locally, has admitted killing the victims with massive doses of potassium .
Drug caused the elderly patients' hearts to fail and eventually killed them .",58,7.4,1.0
33,"Chelsea held to stalemate with Arsenal at Emirates Stadium on Sunday .
Arsene Wenger has not beaten Chelsea boss Jose Mourinho in 13 games .
Cesc Fabregas returned to Arsenal for first time since leaving in 2011 .
Oscar had to be replaced at half-time after a collision with David Ospina .",52,6.8,1.0
34,"Dr Habeeb Latheef is accused of sexually assaulting three of his patients .
Assaults allegedly happened at Hendford Medical Centre in Yeovil .
One woman patient, 37, went to see GP with a stiff neck and headache .",38,6.7,1.0
35,"Henley and Partners's Visa Restrictions Index calculates travel freedom .
It is based on the number of countries citizens can visit visa-free .
The best passports include those from Finland, USA, Germany and the UK .
Lowest ranking countries include Iraq, Afghanistan and Pakistan .",45,7.3,1.0
36,"Manny Pacquiao appeared on Mario Lopez's Extra show on Wednesday .
That morning his hill runs and bag work were posted on Instagram .
The pair, who are friends, also sang a duet of Lionel Ritchie Hello .
The Filipino champion takes on Floyd Mayweather Jr on May 2 .",50,5.4,1.0
37,"Nancy Perry won't teach again at Dublin Middle School after giving students her highly critical personal opinion of President Barack Obama .
One student told his father, Jimmie Scott, who complained to the school and requested a parent-teacher conference .
She is the wife of a school board member and brought her husband along to parent-teacher meeting .
Scott says that Perry showed him what he described as propaganda and called the President a 'baby killer'
A superintendent has said Perry was already planning on retiring before the complaint about her behavior .",93,12.0,1.0
38,"Tracey Taylor was distraught following breakdown of 20 year relationship .
She had earlier burst into love-rival's home and attacker her and her ex .
Two days later she broke into the property and trashed the lounge .
Couple have two daughters aged 12 and four, and a son aged 15 together .",53,5.7,1.0
39,"Doctors, teachers and psychologists being trained to cope with rising tide .
The Exorcist film left cinema audiences green more than 40 years ago .
Experts are teaching ordinary Catholics how to recognise possession .
Course aims to help would-be exorcists distinguish demonic possession from psychological or medical conditions .",50,10.1,1.0
40,"Kiwi jihadi Mark Taylor posted a video inciting terror attacks on Anzac Day .
Australian and New Zealand authorities have increased security measures .
He told IS followers to 'stab' police officers or soldiers at Anzac services .
'Now is the time to commence your operations, even if it means you have to stab a few police officers, soldiers on Anzac Day and so be it.'
NZ Police Commissioner 'satisfied' appropriate measures are in place .",76,10.1,1.0
41,"Ronda Blaylock was just 14 years old in 1980 when she was found stabbed to death and brutally assaulted .
This after she and a friend had taken a ride home from a man after school in Rural Hall, North Carolina .
Town is some wholesome it was used as a model for Mayberry in 'The Andy Griffith Show'
Her friend was dropped off but Ronda was never seen again .
The man, now likely in his late fifties, has never been found .
Now police say that new DNA evidence as well as testimony from key witnesses has them close to solving the case .
Surry County Sheriff Graham Atkinson said in a press conference on Monday the man still lives in the area and they are close to finding him .",133,8.0,1.0
42,"Australian Fashion Report revealed the Australian-sold brands and companies that ignore the exploitation of their overseas workers .
Lowes, Industrie, Best & Less and the Just Group - which includes Just Jeans, Portmans and Dotti - were  some of the worst performers .
Etiko, Audrey Blue, Cotton On, H&M and Zara had some of the best scores .
75 per cent of companies don't know the source of all their fabrics and inputs .",74,7.5,1.0
43,"Bayern Munich face Bayer Leverkusen in the German Cup quarter-finals .
Pep Guardiola has just 16 fit players to pick from on Wednesday night .
Bastian Schweinsteiger, Arjen Robben and Franck Ribery all ruled out .
Guardiola believes Jerome Boateng is one of the world's best defenders .",48,6.4,1.0
44,"Dancers performed popular move in front of monument in southern Russia .
Video uploaded to YouTube as a recruitment tool for their dance school .
Jailing women for up to 15 days, court slammed 'erotic sexual twerk dance'
Just weeks ago Russian dance school was shut down after video emerged of students thrusting hips on stage .",57,8.0,1.0
45,"90 per cent of bets on the royal baby's sex have been on a girl .
One Scottish punter in Edinburgh placed a bet of £2,000 yesterday .
Favourite potential birth dates include the 18th, 19th and 20th April .
The Duchess of Cambridge's official due date is the 25th April .
Popular names include Alice, Victoria, Arthur and James .",61,4.1,1.0
46,"#firebrittmchenry has become a popular hashtag on Twitter .
Britt McHenry is a reporter for the sports network, and she is based in Washington .
She apologized on Twitter for losing control of her emotions, not taking the high road .",41,7.1,1.0
47,"Bayern Munich beat Porto 6-1 in their Champions League tie on Tuesday .
Result saw Bayern win quarter-final encounter 7-4 on aggregate .
It was the first-time Porto had reached that stage since the 2008-09 season .",37,6.5,1.0
48,"The PGA Tour star has earned extra brownie points with his growing legion of fans after calling out an online hater who abused his girlfriend .
Bikini model Alexis Randock had posted a photo on her Instagram account of her and her sister Nicole on the beach .
A troll called 'fatalsplash' then accused Alexis of being a 'gold digger' who didn't have to work .
Fowler quickly told the hater to 'get your facts straight', while Alexis informed him that she worked her 'butt off'",86,7.9,1.0
49,"Tim and Brandy Ward reared chickens and turkeys at home in Oso .
Mudslide on March 22 crushed the house, killed Brandy and their dogs .
Tim was buried under 25 feet of mud but was pulled to safety still alive .
He has spent a year trying to settle his $360,000 mortgage .
Last week, an anonymous donor paid the lot to Chase Bank .",66,2.1,1.0
