,target,length,readability,bleu,rouge_recall,rouge_precision,rouge_F1,similarity_with_gt,similarity_wth_text
10,"Millie Marotta, 36, took eight months to complete the illustrations. The beautiful book is made up of detailed line drawings of animals and plants. Millie believes that colouring in is therapeutic and helps with stress. Animal Kingdom is currently at the top of Amazon's Top 100 Books list.",48,6.8,0.0,0.39,0.53,0.45,1.0,1.0
11,French photographer and illustrator Thomas Lamadieu takes snaps of the sky in courtyards and built-up areas to create a frame of buildings. The space between buildings then acts as a canvas for his illustrations which he has dubbed'sky art',39,9.7,0.0,0.51,0.51,0.51,1.0,1.0
12,"Real Madrid are desperate to sign Manchester United keeper David De Gea, according to reports in Spain. They are prepared to wait until next summer if Louis van Gaal won't sign him, according to Spanish paper AS. De Gea's contract at Old Trafford expires in the summer of 2016. United are looking at the possibility of picking up Chelsea's Petr Cech to fill the gap, while the Spaniard runs down his contract in a year. Lionel Messi's",77,8.5,0.0,0.33,0.44,0.38,1.0,1.0
13,"Sterling has admitted he is not ready to sign a new contract at Anfield. The 20-year-old has been offered £100,000-a-week deal by the Reds. Sterling has managed just six goals this season - one less than Stoke forward Jon Walters.",40,4.8,0.0,0.59,0.44,0.51,1.0,1.0
14,Bon Apetit have revealed that the best way to revive a stale loaf is to run it under the tap before baking it in the oven. The experts say you can do this by putting the bread inside the oven for 6 to 13 minutes depending on how large and how wet it is.,54,9.1,0.0,0.65,0.56,0.6,1.0,1.0
15,"Dove's latest campaign sees women humiliated and singled out for being beautiful. Many women would rather admit they are good-looking, but only four per cent were brave enough to walk through the door marked 'beautiful'",35,8.9,0.0,0.21,0.23,0.22,1.0,1.0
16,Ted Loveday powered Gonville and Caius College to victory in the final. He revealed he had revised for the show by watching YouTube videos. But he admitted he had helped his team with some of the questions.,37,4.5,0.0,0.44,0.39,0.41,1.0,1.0
17,"Cheryl Prudham, 33, and partner Robert, 30, are in Las Vegas to renew their vows. The couple have only just got back together after a short split because they want to have more children. They were photographed this week visiting their local Thomson travel agent and taking away brochures for the casino city.",53,7.8,0.0,0.27,0.25,0.25,1.0,1.0
18,Spurs beat Newcastle 3-1 in their premier league clash. Harry Kane scored his 30th goal of the season at St James' Park. Nacer Chadli and Christian Eriksen also added to the scores.,32,3.9,0.0,0.26,0.21,0.23,1.0,1.0
19,"Britt McHenry was filmed mocking an employee of a tow company in Arlington, VA. She quickly issued an apology, but admitted she was entitled. The problem with social media is that it allows people to present and receive whatever angle they want, without fully knowing -- or caring -- the other side of the story.",55,10.2,0.0,0.24,0.39,0.3,1.0,1.0
20,"Unidentified concert-goer photographed wearing T-shirt emblazoned with the words 'Eat Sleep Rape Repeat' shirt was shared on Twitter on Sunday by Jemayel Khawaja, the managing editor for Vice's music and culture channel Thump. Some commenters suggested that the shirt was edited to make it appear more offensive than it actually is. But others took to Twitter to criticize Jemayel and tell him to focus on real issues.",67,12.0,0.0,0.13,0.29,0.18,1.0,1.0
21,"Eerie footage shows 100 metre-wide black hoop of smoke floating in Kazakhstan. Cloud was over Shortandy village, 40 miles north of Astana. Video has been viewed more than 50,000 times since being uploaded to YouTube.",35,4.3,0.0,0.44,0.28,0.34,1.0,1.0
22,LeSean McCoy says Chip Kelly's team has a college feel. Chip Kelly is the Eagles head coach at the Buffalo Bills. McCoy was shipped to the Bills in exchange for Kiko Alonso.,32,3.9,0.0,0.19,0.1,0.13,1.0,1.0
23,"Daxing Internet Addiction Treatment Centre (IATC) is a military-style bootcamp designed to treat young addicts of electronic gadgets. The facility has so far welcomed 6,000 mostly young, mostly male patients and claims to have ‘cured’ 75 per cent of them. Doctor and colonel in the People’s Liberation Army, it is regarded as China’s leading expert in wangyin, or internet addiction.",60,11.1,0.0,0.48,0.59,0.53,1.0,1.0
24,"Shelley Dufresne, 32, was arrested in September after a 16-year-old student started bragging to friends that she was sleeping with him at a Louisiana residence. As part of her plea deal, Dufresne will not have to serve any jail time or have to register as a sex offender. She also will undergo 90-day mental health treatment and surrender her teacher's license and stay away from the victim and his family.",70,11.2,0.0,0.68,0.42,0.52,1.0,1.0
25,Professor John Warren discovered avocado trees switch between male and female in a matter of hours. Avocado trees grow in tropical and Mediterranean climates.,24,10.3,0.0,0.43,0.35,0.38,1.0,1.0
26,Inverness defeated Celtic 3-2 in the Scottish Cup semi-finals. John Hughes' side were without key players after losing to Rangers. The former Falkirk captain says the game was a turning point for them.,33,6.4,0.0,0.31,0.18,0.22,1.0,1.0
27,Lee McCulloch was booed by the crowd at Ibrox last weekend. Stuart McCall has learned to tolerate fans booing their own players. Rangers face Queen of the South on Saturday night.,31,4.9,0.0,0.4,0.39,0.39,1.0,1.0
28,"Indonesian court rejects a last ditch effort to gain clemency for the so-called ""Bali Nine"" seven members of the group are serving sentences of life in prison. Andrew Chan and Myuran Sukumaran were involved in a failed heroin smuggling operation.",40,9.9,0.0,0.17,0.24,0.2,1.0,1.0
29,"Courtney Blackwell at Northwestern University in the US found that, in tests, children who share iPads do much better in early literacy tests than those who don't. Shared iPad students scored around 30 points higher in a test than students who used the device on their own and non-iPad users. Her findings come after the general secretary of the National Association of Head Teachers said he was dubious about using technology as a teaching aid in non-IT classes.",78,12.3,0.0,0.22,0.61,0.32,1.0,1.0
30,"Equal Pay Day is a holiday marked by progressive women's groups. It's the point in the year women would have to work to make up for ""lost"" wages. But that statistic is grossly overstated, and Democrats aren't ready to surrender.",40,4.9,0.0,0.33,0.5,0.4,1.0,1.0
31,"Kevin Franklin, 58, stole £400,001 in life savings over eight years. He married 80-year-old in Italian Alps while victim was forced to borrow money from his children because he could not afford any milk. Franklin told pensioner: 'My financial situation is a disaster' Judge ignored plea for leniency and jailed him for four-and-a-half years.",54,8.0,0.0,0.31,0.31,0.31,1.0,1.0
32,"'green' fuel made using water and carbon dioxide from a form of crude oil. Experts used renewable energy to convert carbon dioxide and water into diesel. Hydrocarbons are the basic building block of all fossil fuels, but they can cause pollution. It is the latest attempt by Audi to produce more environmentally friendly fuels.",54,8.6,0.0,0.38,0.35,0.37,1.0,1.0
33,"Amy Wilkinson, 28, claimed housing benefit and council tax benefit. However, she was living in a home owned by her mother and her partner. She also made claim for income support to help her and daughter financially. She was sentenced to 24 weeks' imprisonment suspended for 24 months.",48,6.8,0.0,0.26,0.33,0.29,1.0,1.0
34,Floyd Mayweather takes on Manny Pacquiao in a mega-fight on May 2. Mayweather claims there has never been a better boxer than Muhammad Ali. Mayweather also criticised the 'rope-a-dope' tactics adopted by Ali.,33,7.6,0.0,0.57,0.34,0.43,1.0,1.0
35,Tokyo's Narita Airport has installed running tracks in its new Terminal 3. Running tracks were designed to celebrate the 2020 Olympics. They also include directional information such as distance to other terminals.,32,8.6,0.0,0.17,0.16,0.16,1.0,1.0
36,Ibrox boss Stuart McCall says he is already working on a dossier of transfer targets. McCall does not know if he will be in charge after being lured back to his old club to kick-start their faltering promotion campaign.,39,8.5,0.0,0.39,0.29,0.33,1.0,1.0
37,"Out of 17 bingo halls tested seven had traces of cocaine in the toilets. Another showed traces of crack cocaine, a more dangerous form of the drug smoked. It comes as Public Health England revealed 634 pensioners treated for addiction.",40,7.3,0.0,0.46,0.53,0.49,1.0,1.0
38,"Noyon Uul is 65 miles north of Ulaanbaatar and has £1.2 billion gold reserves. It is dotted with the graves of Attila the Hun's warrior ancestors, it is claimed. The former premier made an unannounced visit to Mongolia last month. He is seen as leading advocate of mining plans in the region.",52,5.0,0.0,0.41,0.32,0.36,1.0,1.0
39,"Tibor Racsits, 42, and daughter Kiara, 13, were attacked on Sunday night. Two men, two aged 15 and 14, were charged with assault and affray. The other was charged with assault occasioning actual bodily harm and stealing.",37,6.9,0.0,0.47,0.26,0.33,1.0,1.0
40,Ann Summers' lingerie collection is priced between £14 and £85. Emma is known as the bombshell girlfriend of Made In Chelsea's Ollie Proudlock. Collection also includes a curve-skimming dress and silk and lace sets.,34,5.3,0.0,0.29,0.35,0.32,1.0,1.0
41,The Whole Damn Farm contains six different meats in one burger. Chef Sam Longhurst created the meal after being challenged by diners to create a burger containing three kinds of meat.,31,8.2,0.0,0.4,0.38,0.39,1.0,1.0
42,"Havana cob called Cody was rescued from a ditch in Belvedere, south London. It took 18 firefighters to free the water-loving horse an hour-and-a-half ago. His owner, Tracey Hannant, said her horse looked like Black Beauty.",36,4.4,0.0,0.54,0.41,0.47,1.0,1.0
43,"thief Sofia Davila, 21, from Buenos Aires, would flirt with men on Facebook. She would spike their drinks and rob their homes after they fell unconscious. She is now awaiting trial after admitting tricking 15 men and robbing them.",39,4.8,0.0,0.33,0.31,0.32,1.0,1.0
44,"Fight For $15 started in New York City when fast food workers went on strike the day after Thanksgiving. She says even with assistance from food stamps, Medicaid and a child care subsidy, she is barely getting by despite working for McDonald's. Alvarez, 22, said she and fellow employees are 'in the same boat'",54,8.0,0.0,0.46,0.32,0.37,1.0,1.0
45,Orioles-White Sox game will be postponed until May 28. The team also announced it would move three games (May 1-3) to Florida. Game at Camden Yards is scheduled to begin at 2:05 p.m. ET.,34,4.2,0.0,0.24,0.27,0.25,1.0,1.0
46,EasyJet and BA among airlines expected to cancel flights over strike. French air traffic controllers are called because they are expected to retire later in Europe. They will be replaced by European air traffic chiefs at Eurocontrol. Experts fear half of all flights between the UK and France could be axed.,51,5.9,0.0,0.26,0.33,0.29,1.0,1.0
47,"Dutch and Canadian researchers asked 100 men and women to fill in a questionnaire every time they spent five minutes talking to someone else. About a fifth of the 1,000 meetings took place over a meal, the journal Physiology and Behavior reports. Participants felt friendlier, listened more, gave more compliments and were more likely to make compromises.",57,9.5,0.0,0.21,0.38,0.27,1.0,1.0
48,Tehsin Nayani spent six years as a spokesman for the Glazers. He writes in his book that the family were always in it for the long haul. The Glazers took over Manchester United in 2005 for £800m. Their actions led to massive protests by fans and supporters. Nayani says the Glazers were an unusually down to earth family.,58,4.3,0.0,0.42,0.33,0.37,1.0,1.0
49,"John Barnes rapped 1979 classic Rapper's Delight for Sky's upcoming series of A League Of Their Own. Redknapp, 51, and Barnes played together at Liverpool in the 1990s. Barnes reached No 1 with England's 1990 World Cup song World in Motion by New Order.",44,5.5,0.0,0.47,0.46,0.47,1.0,1.0
